Time(ms),TIME Actual,BAR ALT,MBS,AIRT,DRAD,LAT,LON,GPS ALT (m),Accel Time(ms),Accel X (mg),Accel Y (mg),Accel Z (mg),Light Time(ms),Light (lux),UV Index,Weather Time(ms),Humidity (%),Temperature (C),Air Quality Time(ms),CO2 (ppm),Ethanol (raw),H2 (raw),TVOC (ppb),BME688 Time(ms),Temperature (C),Pressure (Pa),Humidity (%),Gas Resistance (Ohms),Gas Index,Status,Heater Stable,IDAC,Meas Index,Gas Valid
19595275,14:49:02,1,1,1,1,34-29.4,-104-13.5,4045,19595056,-0.203125,-0.023438,1.078125,19595058,39,0.462143,19595066,27.328205,26.4,19595228,400,20275,15154,1260,19595275,30.25292,84996.16406,23.264967,23059818,0,1,139,84,1,2779096485
20988293,15:12:16,27077,340.99,-22.6,13.4,34-34.6,-104-09.6,8612,20988074,-0.203125,-0.046875,1.054688,20988076,39,2.061429,20988084,22.123528,-25.11,20988246,400,23428,17273,0,20988293,-17.023394,33539.36719,11.39226,4914217,0,1,189,174,1,2779096485
21049433,15:13:16,28139,325.26,-24.4,11.7,34-34.9,-104-09.3,8901,21049214,-0.203125,-0.0625,1.046875,21049216,39,3.901428,21049224,35.349369,-28.14,21049386,400,23429,17199,0,21049433,-20.492176,32041.83398,11.990802,102400000,0,1,135,238,1,2779096485
21110573,15:14:17,28967,313.46,-27.1,10.4,34-35.0,-104-08.9,9262,21110354,-0.210938,-0.039062,1.039062,21110356,39,0.822143,21110364,45.279121,-28.17,21110526,400,23461,17200,0,21108535,-22.336094,30639.07813,15.547108,102400000,0,1,136,34,1,2779096485
21170694,15:15:17,29775,302.31,-31.1,9.1,34-35.1,-104-08.6,9622,21170475,-0.210938,-0.039062,1.023438,21170477,39,0.762857,21170485,34.285927,-29.28,21170647,400,23542,17296,0,21168656,-24.764368,29242.09766,18.683609,102400000,0,1,138,96,1,2779096485
21229796,15:16:17,31138,284.29,-32.5,7.9,34-35.2,-104-08.4,9917,21229577,-0.203125,-0.046875,1.140625,21229579,39,1.266429,21229587,25.807285,-34.55,21229749,400,23648,17423,0,21227758,-27.620779,27940.95313,18.540646,102400000,0,1,139,148,1,2779096485
21289917,15:17:17,32367,268.88,-33.2,6.7,34-35.3,-104-08.3,10270,21289698,-0.210938,-0.046875,1.03125,21289700,39,1.013571,21289708,25.066948,-38.15,21289870,400,23712,17538,0,21277689,-30.285675,26876.20313,17.568089,102400000,0,1,141,153,1,2779096485
21351070,15:18:18,32936,262,-38.3,5.3,34-35.4,-104-08.2,10565,21350851,-0.203125,-0.0625,1.0625,21350853,39,1.001429,21350861,20.344257,-39.29,21351023,400,23764,17611,0,21351070,-32.464382,25297.19727,16.157848,102400000,0,1,142,26,1,2779096485
21411191,15:19:18,34612,242.66,-40,4,34-35.8,-104-08.1,10928,21410972,-0.21875,-0.054688,1.023438,21410974,39,0.812857,21410982,15.017891,-40.35,21411144,400,23815,17684,0,21411191,-34.066265,24064.80273,14.956173,102400000,0,1,170,88,1,2779096485
21471312,15:20:18,35207,236.1,-41.5,3.2,34-36.1,-104-07.9,11232,21471093,-0.210938,-0.039062,1.070312,21471095,39,0.978571,21471103,11.161613,-43.08,21471265,400,23826,17717,0,21471312,-35.836868,22869.85742,13.802483,102400000,0,1,171,145,1,2779096485
21531433,15:21:18,36381,223.65,-43.3,2.1,34-36.3,-104-07.7,11598,21531214,-0.21875,-0.054688,1.007812,21531216,39,1.824286,21531224,9.175491,-46.91,21531386,400,23816,17717,0,21521243,-38.23204,21930.86719,12.821385,102400000,0,1,146,152,1,2779096485
21591573,15:22:18,37154,215.78,-46.5,0.8,34-36.5,-104-07.6,11900,21591354,-0.21875,-0.070312,1.070312,21591356,39,1.32,21591364,8.406258,-48.23,21591526,400,23842,17755,0,21591573,-39.00523,20704.125,12.01495,3397760.25,0,1,197,8,1,2779096485
21651694,15:23:18,38536,202.34,-46.2,-0.4,34-36.6,-104-07.6,12247,21651475,-0.21875,-0.078125,1.054688,21651477,39,1.27,21651485,6.325722,-50,21651647,400,23848,17776,0,21651694,-40.765663,19731.60352,11.244147,102400000,0,1,147,67,1,2779096485
21711815,15:24:18,40043,188.57,-48.7,-1.9,34-36.7,-104-07.7,12582,21711596,-0.21875,-0.0625,1.03125,21711598,39,1.339286,21711606,4.30603,-50,21711768,400,23853,17805,0,21709777,-42.639389,18813.19336,10.61421,3380932.75,0,1,199,117,1,2779096485
21770917,15:25:18,40796,182.02,-50.7,-3.1,34-36.8,-104-07.7,12875,21770698,-0.234375,-0.054688,1.007812,21770700,39,1.467857,21770708,3.289413,-50,21770870,400,23865,17816,0,21770917,-45.104897,17934.43555,10.003681,102400000,0,1,150,181,1,2779096485
21831038,15:26:18,42259,169.89,-53.8,-4.3,34-36.9,-104-07.7,13220,21830819,-0.21875,-0.09375,1.023438,21830821,39,1.040714,21830829,1.93758,-50,21830991,400,23870,17825,0,21830019,-46.930687,17101.50977,9.527581,102400000,0,1,151,233,1,2779096485
21891159,15:27:18,43175,162.68,-55,-5.3,34-37.0,-104-07.7,13505,21890940,-0.226562,-0.078125,0.992188,21890942,39,0.831429,21890950,0.902081,-50,21891112,400,23921,17869,0,21887083,-48.587715,16269.3916,9.137952,102400000,0,1,152,19,1,2779096485
21950261,15:28:18,44490,152.84,-61,-6.1,34-37.0,-104-07.6,13880,21950042,-0.226562,-0.09375,1.015625,21950044,39,0.814286,21950052,1.639557,-50,21950214,400,23985,17924,0,21945166,-50.028149,15412.95703,8.857027,3752634,0,1,201,69,1,2779096485
22010382,15:29:18,45176,147.93,-59.8,-6.5,34-37.0,-104-07.7,14201,22010163,-0.234375,-0.046875,1.03125,22010165,39,0.882143,22010173,0.380898,-50,22010335,400,24000,17925,0,22006306,-52.4305,14535.80469,8.482273,102400000,0,1,154,133,1,2779096485
22070503,15:30:18,47273,133.83,-63.3,-6.5,34-37.0,-104-07.9,14606,22070284,-0.210938,-0.101562,1.023438,22070286,39,3.492143,22070294,0,-50,22070456,400,24002,17948,0,22065408,-54.271252,13803.68164,8.256504,102400000,0,1,155,185,1,2779096485
22130632,15:31:18,47581,131.87,-63.8,-6.5,34-37.0,-104-07.9,14924,22130413,-0.234375,-0.101562,1.007812,22130415,39,2.727143,22130423,0,-50,22130585,400,24018,17948,0,22124518,-55.852608,12996.49121,8.081011,102400000,0,1,156,237,1,2779096485
22190753,15:32:18,49819,118.43,-63.7,-7.4,34-37.1,-104-08.0,15296,22190534,-0.234375,-0.101562,1.007812,22190536,39,0.860714,22190544,0,-50,22190706,400,23983,17930,0,22183620,-56.990761,12358.90039,7.919926,102400000,0,1,157,33,1,2779096485
22250874,15:33:18,50109,116.79,-67.3,-8.3,34-37.1,-104-08.0,15590,22250655,-0.226562,-0.117188,1.03125,22250657,39,3.461429,22250665,0,-50,22250827,400,23963,17922,0,22250874,-57.511993,11658.5459,7.859498,102400000,0,1,181,130,1,2779096485
22310995,15:34:18,51493,109.25,-68.2,-8.9,34-37.2,-104-07.9,15949,22310776,-0.21875,-0.09375,1.007812,22310778,39,3.090714,22310786,0,-50,22310948,400,23921,17892,0,22310995,-58.35804,11117.20801,7.786678,12908410,0,1,204,187,1,2779096485
22371128,15:35:18,52447,104.33,-64.9,-9.4,34-37.2,-104-07.8,16228,22370909,-0.234375,-0.125,1.039062,22370911,39,1.060714,22370919,0,-50,22371081,400,23892,17870,0,22371128,-59.201561,10661.64648,7.694569,12537976,0,1,204,244,1,2779096485
22431249,15:36:18,53172,100.73,-71.8,-9.9,34-37.4,-104-07.7,16655,22431030,-0.234375,-0.109375,1.039062,22431032,39,0.498571,22431040,0,-50,22431202,400,23826,17834,0,22431249,-58.488976,10239.91797,7.660763,15544592,0,1,204,45,1,2779096485
22491370,15:37:19,53647,98.44,-68.5,-10,34-37.4,-104-07.7,16773,22491151,-0.226562,-0.101562,1.015625,22491153,39,1.217143,22491161,0,-50,22491323,400,23769,17815,12,22491370,-57.411274,9944.102539,7.714365,102400000,0,1,157,104,1,2779096485
22551491,15:38:19,54071,96.44,-68.8,-9.7,34-37.3,-104-07.7,16905,22551272,-0.226562,-0.085938,1.007812,22551274,39,1.963571,22551282,0,-50,22551444,400,23699,17745,55,22550472,-56.449383,9722.557617,7.728797,102400000,0,1,156,156,1,2779096485
22611629,15:39:19,54525,94.34,-61,-8.9,34-37.3,-104-07.7,17018,22611410,-0.226562,-0.09375,1.023438,22611412,39,1.494286,22611420,0,-50,22611582,400,23591,17680,130,22611629,-55.845051,9420.589844,7.718848,102400000,0,1,156,218,1,2779096485
22671750,15:40:19,55129,91.62,-60.4,-8.3,34-37.2,-104-07.7,17197,22671531,-0.226562,-0.09375,1.046875,22671533,39,0.789286,22671541,0,-50,22671703,400,23594,17655,129,22670731,-55.429573,9128.921875,7.665234,102400000,0,1,155,14,1,2779096485
22731871,15:41:19,55819,88.6,-65.3,-7.6,34-37.2,-104-07.8,17374,22731652,-0.226562,-0.085938,1.0625,22731654,39,2.407143,22731662,0,-50,22731824,400,23597,17669,131,22727795,-54.006847,8775.681641,7.721249,102400000,0,1,154,56,1,2779096485
22791992,15:42:19,56493,85.75,-60.6,-7,34-37.0,-104-08.0,17588,22791773,-0.226562,-0.085938,1.023438,22791775,39,0.455714,22791783,0,-50,22791945,400,23591,17650,123,22785878,-53.019745,8509.824219,7.705481,102400000,0,1,201,106,1,2779096485
22852113,15:43:19,57124,83.16,-59.6,-6.4,34-37.0,-104-08.3,17753,22851894,-0.226562,-0.09375,1.023438,22851896,39,3.005,22851904,0,-50,22852066,400,23589,17662,120,22844980,-52.830883,8186.668457,7.674846,102400000,0,1,201,158,1,2779096485
22912234,15:44:19,57944,79.91,-62,-5.9,34-37.0,-104-08.5,17982,22912015,-0.226562,-0.078125,1.007812,22912017,39,1.229286,22912025,0,-50,22912187,400,23671,17695,85,22912234,-53.057518,7841.784668,7.560184,102400000,0,1,154,252,1,2779096485
22971336,15:45:19,58779,76.73,-63.6,-5.6,34-37.3,-104-08.7,18261,22971117,-0.226562,-0.09375,1.03125,22971119,39,2.927857,22971127,0,-50,22971289,400,23614,17669,118,22971336,-52.569,7527.430176,7.519094,102400000,0,1,153,48,1,2779096485
23031457,15:46:19,59549,73.91,-57.9,-5.1,34-37.4,-104-08.8,18498,23031238,-0.226562,-0.085938,1.046875,23031240,39,0.767857,23031248,0,-50,23031410,400,23582,17630,134,23024324,-52.188759,7283.974609,7.442411,102400000,0,1,153,70,1,2779096485
23091578,15:47:19,60273,71.35,-63.3,-4.5,34-37.3,-104-09.0,18722,23091359,-0.234375,-0.0625,1.015625,23091361,39,1.309286,23091369,0,-50,23091531,400,23581,17644,132,23091578,-50.974995,6958.869629,7.443923,102400000,0,1,176,167,1,2779096485
23151699,15:48:19,61042,68.73,-61.9,-3.6,34-37.3,-104-09.3,18932,23151480,-0.226562,-0.085938,1.039062,23151482,39,0.476429,23151490,0,-50,23151652,400,23551,17593,152,23151699,-50.149025,6667.220703,7.350078,102400000,0,1,199,224,1,2779096485
23211820,15:49:19,61853,66.07,-59.6,-2.6,34-37.3,-104-09.7,19186,23211601,-0.226562,-0.078125,1.007812,23211603,39,0.361429,23211611,0,-50,23211773,400,23583,17628,123,23211820,-49.2752,6441.918457,7.284111,102400000,0,1,198,25,1,2779096485
23271941,15:50:19,62484,64.07,-57.5,-1.9,34-37.5,-104-10.0,19382,23271722,-0.226562,-0.085938,1.046875,23271724,39,0.692857,23271732,0,-50,23271894,400,23604,17629,117,23266846,-48.84206,6247.576172,7.165335,102400000,0,1,175,57,1,2779096485
23332072,15:51:19,63149,62.03,-60.1,-0.7,34-37.7,-104-10.3,19577,23331853,-0.226562,-0.078125,1.085938,23331855,39,0.847143,23331863,0,-50,23332025,400,23590,17613,124,23331053,-47.555225,5990.732422,7.086478,102400000,0,1,197,139,1,2779096485
23392193,15:52:19,63888,59.84,-59.7,0.3,34-37.9,-104-10.6,19780,23391974,-0.226562,-0.0625,1.007812,23391976,39,2.495,23391984,0,-50,23392146,400,23623,17614,111,23392193,-47.633289,5742.138672,6.887538,102400000,0,1,150,203,1,2779096485
23451295,15:53:19,64776,57.31,-56.9,1.1,34-38.0,-104-10.7,20032,23451076,-0.210938,-0.085938,1.046875,23451078,39,0.666429,23451086,0,-50,23451248,400,23633,17608,100,23451295,-47.638329,5498.068359,6.681852,102400000,0,1,150,255,1,2779096485
23511416,15:54:19,65678,54.85,-55.1,1.1,34-38.0,-104-10.8,20296,23511197,-0.226562,-0.070312,1.023438,23511199,39,1.318571,23511207,0,-50,23511369,400,23578,17574,136,23510397,-47.127113,5267.961914,6.522031,102400000,0,1,149,51,1,2779096485
23571537,15:55:19,66531,52.62,-55.6,1.1,34-38.0,-104-11.2,20550,23571318,-0.21875,-0.070312,1.039062,23571320,39,0.661429,23571328,0,-50,23571490,400,23576,17569,131,23566442,-46.132378,5033.614258,6.384517,102400000,0,1,195,91,1,2779096485
23632677,15:56:20,67476,50.26,-55,1.1,34-38.0,-104-11.5,20824,23632458,-0.21875,-0.078125,1.007812,23632460,39,1.572143,23632468,0,-50,23632630,400,23533,17541,171,23627582,-46.089565,4815.850098,6.168951,102400000,0,1,148,155,1,2779096485
23692798,15:57:20,68299,48.29,-54,1.3,34-38.0,-104-11.8,21094,23692579,-0.226562,-0.078125,0.992188,23692581,39,0.566429,23692589,0,-50,23692751,400,23465,17484,208,23686684,-45.36932,4634.006836,5.969219,102400000,0,1,147,207,1,2779096485
23752919,15:58:20,69037,46.59,-58,2.1,34-37.9,-104-12.1,21355,23752700,-0.226562,-0.070312,1,23752702,39,0.816429,23752710,0,-50,23752872,400,23466,17489,211,23752919,-44.15295,4419.436035,5.780445,102400000,0,1,171,43,1,2779096485
23813040,15:59:20,69868,44.75,-52.9,2.7,34-37.8,-104-12.5,21579,23812821,-0.234375,-0.085938,1.03125,23812823,39,1.152143,23812831,0,-50,23812993,400,23402,17447,251,23813040,-43.284103,4230.48877,5.571174,102400000,0,1,171,100,1,2779096485
23873174,16:00:20,70687,43.01,-53.4,3.1,34-37.7,-104-13.1,21858,23872955,-0.226562,-0.078125,0.992188,23872957,39,1.28,23872965,0,-50,23873127,400,23263,17344,413,23869098,-43.057446,4062.876221,5.339868,102400000,0,1,146,137,1,2779096485
23932276,16:01:20,71570,41.21,-52.4,3.7,34-37.7,-104-13.5,22092,23932057,-0.21875,-0.070312,0.992188,23932059,39,1.339286,23932067,0,-50,23932229,400,23163,17282,532,23932276,-41.982079,3869.1604,5.113927,102400000,0,1,192,214,1,2779096485
23992397,16:02:20,72378,39.63,-49.8,3.9,34-37.6,-104-13.9,22340,23992178,-0.234375,-0.078125,1.023438,23992180,39,1.19,23992188,0,-50,23992350,400,23020,17215,822,23992397,-41.158546,3738.878662,4.887232,102400000,0,1,192,15,1,2779096485
24052518,16:03:20,73020,38.42,-51.8,4.4,34-37.6,-104-14.4,22567,24052299,-0.21875,-0.070312,1.03125,24052301,39,2.727143,24052309,0,-50,24052471,400,22912,17176,1059,24052518,-40.798405,3585.658936,4.613407,102400000,0,1,144,74,1,2779096485
24112659,16:04:20,73890,36.84,-49.5,5.2,34-37.5,-104-14.9,22788,24112440,-0.210938,-0.070312,0.984375,24112442,39,2.297143,24112450,0,-50,24112612,400,22899,17223,1091,24110621,-39.733082,3413.165283,4.385568,102400000,0,1,191,124,1,2779096485
24172780,16:05:20,74835,35.2,-50.3,5.7,34-37.5,-104-15.7,23046,24172561,-0.210938,-0.070312,0.96875,24172563,39,0.587857,24172571,0,-49.76,24172733,400,22921,17275,1021,24171761,-39.97234,3240.703613,4.073077,102400000,0,1,143,188,1,2779096485
24232901,16:06:20,75864,33.5,-48.4,5.5,34-37.5,-104-16.2,23359,24232682,-0.21875,-0.0625,1.03125,24232684,39,2.317143,24232692,0,-49.33,24232854,400,22936,17294,1018,24228825,-38.808784,3083.559082,3.888122,102400000,0,1,143,230,1,2779096485
24293022,16:07:20,76824,31.99,-49.2,5.7,34-37.5,-104-17.0,23707,24292803,-0.21875,-0.023438,0.992188,24292805,39,0.925,24292813,0,-48.28,24292975,400,22927,17289,1040,24286908,-37.703144,2941.730469,3.654757,102400000,0,1,188,24,1,2779096485
24353143,16:08:20,77722,30.64,-49.2,5.9,34-37.6,-104-17.7,23960,24352924,-0.21875,-0.054688,1.117188,24352926,39,0.826429,24352934,0,-46.1,24353096,400,22920,17286,1038,24348048,-37.350544,2820.445068,3.3702,102400000,0,1,141,88,1,2779096485
24413264,16:09:20,78472,29.56,-46.9,6.2,34-37.7,-104-18.6,24233,24413045,-0.21875,-0.054688,1.03125,24413047,39,2.44,24413055,0,-46.81,24413217,400,22832,17204,1253,24413264,-36.073616,2702.217041,3.112815,102400000,0,1,165,175,1,2779096485
24472366,16:10:20,79228,28.51,-45.9,6.4,34-37.8,-104-19.4,24446,24472147,-0.21875,-0.070312,1.023438,24472149,39,2.362857,24472157,0,-46.58,24472319,400,22782,17193,1443,24472366,-35.106468,2598.988037,2.8657,102400000,0,1,164,227,1,2779096485
24533509,16:11:21,80059,27.4,-47,7.1,34-38.0,-104-20.2,24709,24533290,-0.210938,-0.0625,1.078125,24533292,39,0.544286,24533300,0,-45.72,24533462,400,22748,17192,1515,24533509,-34.126717,2465.077148,2.608088,102400000,0,1,186,38,1,2779096485
24593630,16:12:21,81063,26.12,-45.1,6.8,34-38.1,-104-20.8,24983,24593411,-0.210938,-0.09375,1.070312,24593413,39,0.79,24593421,0,-45.72,24593583,400,22695,17168,1741,24593630,-33.192284,2339.14209,2.347155,102400000,0,1,185,95,1,2779096485
24653751,16:13:21,82069,24.9,-46.2,6.6,34-38.2,-104-21.5,25314,24653532,-0.210938,-0.101562,1.054688,24653534,39,0.906429,24653542,0,-45.45,24653704,400,22589,17103,2265,24647637,-33.177174,2236.282471,2.087434,102400000,0,1,138,122,1,2779096485
24713872,16:14:21,83030,23.79,-44.7,6.8,34-38.2,-104-22.1,25589,24713653,-0.226562,-0.054688,1.132812,24713655,39,0.977857,24713663,0,-44.51,24713825,400,22438,17019,2921,24712853,-31.197464,2123.403809,1.874593,102400000,0,1,184,209,1,2779096485
24775019,16:15:22,83927,22.8,-42.5,7.3,34-38.2,-104-22.8,25891,24774800,-0.21875,-0.070312,0.984375,24774802,39,1.577143,24774810,0,-44.37,24774972,400,22209,16893,4914,24774000,-30.993444,2020.08252,1.587564,102400000,0,1,136,17,1,2779096485
24835140,16:16:22,84886,21.79,-42.2,8.3,34-38.1,-104-23.4,26144,24834921,-0.210938,-0.0625,1.085938,24834923,39,1.494286,24834931,0,-44.24,24835093,400,21974,16784,7745,24830045,-29.46455,1918.937866,1.409793,102400000,0,1,182,57,1,2779096485
24895261,16:17:22,85902,20.77,-45.3,9.3,34-38.0,-104-24.2,26480,24895042,-0.210938,-0.054688,1.117188,24895044,39,1.574286,24895052,0,-43.45,24895214,400,21775,16711,12079,24891185,-29.273123,1827.931763,1.13489,102400000,0,1,135,121,1,2779096485
24954363,16:18:22,86758,19.95,-44.6,10,34-37.9,-104-24.9,26739,24954144,-0.210938,-0.054688,1.046875,24954146,39,0.530714,24954154,0,-39.97,24954316,400,21712,16726,13194,24948249,-27.948227,1760.592651,0.953007,102400000,0,1,134,163,1,2779096485
25015503,16:19:23,87575,19.2,-41.5,10.6,34-37.8,-104-25.8,27009,25015284,-0.210938,-0.0625,0.960938,25015286,39,0.853571,25015294,0,-38.57,25015456,400,21702,16754,13835,25015503,-26.965878,1676.763428,0.734381,102400000,0,1,159,4,1,2779096485
25075633,16:20:23,88356,18.51,-44.9,11.1,34-37.6,-104-26.5,27238,25075414,-0.179688,-0.101562,1,25075416,39,2.222143,25075424,0,-38.39,25075586,400,21598,16667,15918,25067481,-26.187546,1608.673584,0.566004,102400000,0,1,132,21,1,2779096485
25135754,16:21:23,89373,17.65,-39,11.6,34-37.5,-104-27.3,27538,25135535,-0.203125,-0.054688,1.101562,25135537,39,0.467857,25135545,0,-38.01,25135707,400,21484,16596,22947,25135754,-24.396605,1506.190674,0.376801,102400000,0,1,178,123,1,2779096485
25195875,16:22:23,90560,16.7,-40.9,12.4,34-37.3,-104-28.0,27841,25195656,-0.203125,-0.046875,1.03125,25195658,39,0.681429,25195666,0,-35.54,25195828,400,21449,16592,25003,25192818,-23.726566,1418.556519,0.190141,102400000,0,1,156,165,1,2779096485
25257015,16:23:24,91766,15.79,-44.7,12.7,34-37.3,-104-29.0,28237,25256796,-0.203125,-0.007812,0.976562,25256798,39,2.204286,25256806,0,-35.21,25256968,400,21317,16481,34066,25255996,-22.089233,1335.083374,0.021564,102400000,0,1,177,242,1,2779096485
25317143,16:24:24,92874,15,-40,13.3,34-37.2,-104-29.8,28599,25316924,-0.210938,-0.054688,1.109375,25316926,39,0.544286,25316934,0,-34.88,25317096,400,21187,16369,43199,25317143,-21.8197,1267.055298,0,102400000,0,1,129,50,1,2779096485
25377264,16:25:24,93743,14.41,-42.2,13.9,34-37.2,-104-30.5,28856,25377045,-0.210938,-0.046875,1.0625,25377047,39,0.595714,25377055,0.053692,-32.28,25377217,400,21144,16361,45709,25374207,-20.37882,1209.2146,0,102400000,0,1,128,92,1,2779096485
25436366,16:26:24,94650,13.82,-38.8,13.9,34-37.2,-104-31.4,29168,25436147,-0.203125,-0.054688,1.039062,25436149,39,2.195,25436157,0.05722,-31.81,25436319,400,21018,16232,54667,25432290,-18.942955,1154.369263,0,102400000,0,1,174,142,1,2779096485
25497506,16:27:25,95599,13.23,-40.5,13.9,34-37.2,-104-32.1,29420,25497287,-0.1875,-0.0625,1.007812,25497289,39,0.719286,25497297,0.538349,-29.3,25497459,400,20912,16139,60000,25493430,-18.655779,1108.442017,0,102400000,0,1,125,206,1,2779096485
25557644,16:28:25,96269,12.83,-40.3,14.5,34-37.2,-104-33.0,29677,25557425,-0.203125,-0.03125,1.078125,25557427,39,0.436429,25557435,0.559807,-24.89,25557597,400,20895,16144,60000,25550511,-17.081333,1068.783325,0,102400000,0,1,124,248,1,2779096485
25617765,16:29:25,97067,12.37,-36.3,14.8,34-37.3,-104-33.8,29899,25617546,-0.203125,-0.03125,0.992188,25617548,39,0.99,25617556,0.37241,-23.55,25617718,400,20848,16115,60000,25617765,-15.947716,1020.908875,0,102400000,0,1,150,89,1,2779096485
25677886,16:30:25,98008,11.85,-34.2,15.4,34-37.4,-104-34.7,30129,25677667,-0.195312,-0.046875,1.046875,25677669,39,2.045714,25677677,0,-23.51,25677839,400,20735,15979,60000,25675848,-15.174329,976.180298,0,102400000,0,1,122,136,1,2779096485
25738007,16:31:25,98820,11.42,-39.5,16.3,34-37.5,-104-35.5,30382,25737788,-0.203125,-0.078125,1.117188,25737790,39,0.486429,25737798,0,-21.84,25737960,400,20671,15925,60000,25738007,-13.194227,918.802917,0,102400000,0,1,170,208,1,2779096485
25798135,16:32:25,100111,10.77,-35.5,16.6,34-37.5,-104-36.6,30767,25797916,-0.203125,-0.023438,1.007812,25797918,39,0.571429,25797926,0,-20.86,25798088,400,20618,15902,60000,25798135,-12.015214,862.47052,0,102400000,0,1,169,9,1,2779096485
25858256,16:33:25,101291,10.21,-34.1,16.3,34-37.6,-104-37.6,31133,25858037,-0.1875,-0.046875,1.03125,25858039,39,1.14,25858047,0.026131,-20.77,25858209,400,20421,15673,60000,25855199,-11.352643,819.938599,0,102400000,0,1,146,51,1,2779096485
25917358,16:34:25,101356,10.18,-34.8,16.9,34-37.6,-104-38.6,31412,25917139,-0.1875,-0.046875,1.078125,25917141,39,0.517143,25917149,0.359535,-18.41,25917311,400,20242,15547,60000,25905130,-10.914285,795.248169,0,102400000,0,1,119,58,1,2779096485
25977479,16:35:25,101997,9.89,-31.7,17.2,34-37.7,-104-39.6,31622,25977260,-0.203125,-0.0625,1.054688,25977262,39,0.516429,25977270,0.185108,-15.6,25977432,400,20165,15525,60000,25976460,-8.805601,763.260437,0,102400000,0,1,167,175,1,2779096485
26037605,16:36:25,102635,9.61,-34.4,18.2,34-37.7,-104-40.6,31811,26037386,-0.203125,-0.046875,1.054688,26037388,39,1.931429,26037396,0.066566,-14.98,26037558,400,20034,15377,60000,26037605,-8.596495,732.32959,0,102400000,0,1,117,239,1,2779096485
26097726,16:37:25,103365,9.3,-30,18.9,34-37.9,-104-41.7,32021,26097507,-0.195312,-0.007812,1.078125,26097509,39,0.408571,26097517,0,-14.12,26097679,400,19946,15329,60000,26096707,-7.608897,703.432495,0,102400000,0,1,116,35,1,2779096485
26157847,16:38:25,104147,8.98,-31.6,19.2,34-38.0,-104-42.6,32300,26157628,-0.195312,0,1.007812,26157630,39,0.45,26157638,0,-11.13,26157800,400,19942,15368,60000,26155809,-6.636404,671.328979,0,102400000,0,1,115,87,1,2779096485
26217968,16:39:25,105114,8.6,-31.5,19.2,34-38.1,-104-43.4,32558,26217749,-0.1875,-0.03125,1.007812,26217751,39,0.661429,26217759,0,-7.61,26217921,400,19947,15383,60000,26205740,-5.951118,638.16687,0,102400000,0,1,114,92,1,2779096485
26278099,16:40:25,106293,8.16,-32.8,19.5,34-38.3,-104-44.2,32890,26277880,-0.210938,-0.046875,1.070312,26277882,39,0.49,26277890,0,-4.19,26278052,400,19898,15364,60000,26270956,-3.79445,594.735474,0,102400000,0,1,163,179,1,2779096485
26338220,16:41:25,107454,7.75,-33.3,20.2,34-38.6,-104-45.0,33258,26338001,-0.195312,-0.03125,1.046875,26338003,39,1.530714,26338011,0,-2.35,26338173,400,19861,15343,60000,26338220,-3.716345,553.14624,0,102400000,0,1,112,17,1,2779096485
26398341,16:42:26,108498,7.4,-31.2,21.7,34-38.9,-104-45.7,33575,26398122,-0.195312,0,1.039062,26398124,39,0.367143,26398132,0,-2.18,26398294,400,19798,15311,60000,26397322,-2.716096,523.689514,0,102400000,0,1,111,69,1,2779096485
26458462,16:43:26,109404,7.11,-35.7,22.4,34-39.2,-104-46.6,33918,26458243,-0.203125,-0.015625,1.03125,26458245,39,1.074286,26458253,0,-0.51,26458415,420,19728,15257,60000,26450310,-1.703239,504.968994,0,102400000,0,1,110,91,1,2779096485
